,volume,livre,chapitre,id,count,gender,number,mentions,agent,patient,mod,poss,action,affect_emotion,body_parts,capability_obligation,cognition,communication,environment,existence_state,human_relations,motion,not_a_valid_character_attribute,perception,personality_traits,physical_objects,physical_traits,possession,sociological
20,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_II_Hougomont,16.0,"{'occurrence': 2, 'mention_ratio': 0.0161}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 0.5, 'inference': {'Singular': 0.0, 'Plural': 1.0}, 'max': 1.0, 'argmax': 'Plural'}","{'proper': [], 'common': [{'n': 'deux compagnies hanovriennes', 'c': 1}], 'pronoun': [{'n': 'dont', 'c': 1}]}",[],[],"[{'w': 'hanovrien', 'i': 2473}]",[],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_II_Hougomont,17.0,"{'occurrence': 2, 'mention_ratio': 0.0161}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 1.0, 'inference': {'Singular': 0.0, 'Plural': 1.0}, 'max': 1.0, 'argmax': 'Plural'}","{'proper': [], 'common': [{'n': 'quinze cents hommes', 'c': 1}, {'n': 'trois mille hommes', 'c': 1}], 'pronoun': []}","[{'w': 'tomber', 'i': 2551}]",[],[],[],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_III_Le_18_juin_1815,0.0,"{'occurrence': 18, 'mention_ratio': 0.30000000000000004}","{'ratio': 0.6111, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 0.8889, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'napoléon', 'c': 1}], 'common': [{'n': 'ce prodigieux capitaine', 'c': 1}, {'n': 'l’ homme', 'c': 1}, {'n': 'ce sombre athlète du pugilat de la guerre', 'c': 1}], 'pronoun': [{'n': 'il', 'c': 8}, {'n': 'lui', 'c': 2}, {'n': 'qui', 'c': 1}, {'n': 'ses', 'c': 1}, {'n': 'sa', 'c': 1}, {'n': 'son', 'c': 1}]}","[{'w': 'ressentir', 'i': 189}, {'w': 'dire', 'i': 212}, {'w': 'traiter', 'i': 253}, {'w': 'battre', 'i': 266}, {'w': 'accabler', 'i': 271}, {'w': 'nouer', 'i': 280}, {'w': 'dénouer', 'i': 282}, {'w': 'confier', 'i': 332}, {'w': 'compter', 'i': 369}, {'w': 'avoir', 'i': 378}]","[{'w': 'faire', 'i': 349}]","[{'w': 'officier', 'i': 181}, {'w': 'prodigieux', 'i': 195}, {'w': 'sombre', 'i': 355}]","[{'w': 'fond', 'i': 192}, {'w': 'plan', 'i': 226}, {'w': 'clef', 'i': 248}, {'w': 'génie', 'i': 296}, {'w': 'nombre', 'i': 382}]",4,1,0,0,1,2,0,0,0,1,4,0,2,0,2,1,1
23,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_III_Le_18_juin_1815,1.0,"{'occurrence': 11, 'mention_ratio': 0.18330000000000002}","{'ratio': 0.5455, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 0.9091, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'napoléon', 'c': 1}], 'common': [], 'pronoun': [{'n': '-il', 'c': 5}, {'n': 'son', 'c': 3}, {'n': 'lui', 'c': 1}, {'n': 'qui', 'c': 1}]}",[],[],[],"[{'w': 'char', 'i': 721}, {'w': 'attelage', 'i': 744}, {'w': 'plan', 'i': 787}]",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
24,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_III_Le_18_juin_1815,2.0,"{'occurrence': 11, 'mention_ratio': 0.18330000000000002}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 1.0, 'inference': {'Singular': 0.0, 'Plural': 1.0}, 'max': 1.0, 'argmax': 'Plural'}","{'proper': [], 'common': [], 'pronoun': [{'n': 'nous', 'c': 10}, {'n': 'notre', 'c': 1}]}","[{'w': 'penser', 'i': 783}, {'w': 'prétendre', 'i': 889}, {'w': 'raconter', 'i': 907}, {'w': 'laisser', 'i': 965}, {'w': 'avoir', 'i': 1008}, {'w': 'avoir', 'i': 1038}, {'w': 'juger', 'i': 1081}]",[],[],"[{'w': 'sujet', 'i': 922}, {'w': 'droit', 'i': 1011}, {'w': 'pratique', 'i': 1041}]",1,0,0,0,4,1,0,0,0,0,3,0,1,0,0,0,0
25,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_III_Le_18_juin_1815,3.0,"{'occurrence': 7, 'mention_ratio': 0.11670000000000001}","{'ratio': 0.8571000000000001, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 1.0, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'napoléon', 'c': 1}], 'common': [{'n': 'ce mystérieux accusé', 'c': 1}], 'pronoun': [{'n': '-il', 'c': 4}, {'n': 'son', 'c': 1}]}",[],[],"[{'w': 'mystérieux', 'i': 1077}]","[{'w': 'déclin', 'i': 471}]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_IV_A,0.0,"{'occurrence': 4, 'mention_ratio': 0.2667}","{'ratio': 0.5, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 1.0, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'napoléon', 'c': 1}], 'common': [{'n': 'du dernier césar', 'c': 1}], 'pronoun': [{'n': 'sa', 'c': 1}, {'n': 'le', 'c': 1}]}",[],"[{'w': 'montre', 'i': 552}]","[{'w': 'mauvais', 'i': 497}, {'w': 'dernier', 'i': 650}]","[{'w': 'lunette', 'i': 523}, {'w': 'figure', 'i': 648}]",0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0
27,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_V_Le_quid_obscurum_des_bataille,0.0,"{'occurrence': 6, 'mention_ratio': 0.17650000000000002}","{'ratio': 0, 'inference': {'Male': 0, 'Female': 0}, 'max': 0, 'argmax': 'Null'}","{'ratio': 1.0, 'inference': {'Singular': 0.17, 'Plural': 0.8300000000000001}, 'max': 0.8300000000000001, 'argmax': 'Plural'}","{'proper': [{'n': 'la brigade de kempt', 'c': 1}], 'common': [{'n': 'ces jeunes soldats', 'c': 1}, {'n': 'ces recrues', 'c': 1}, {'n': 'cette infanterie novice', 'c': 1}], 'pronoun': [{'n': 'leur', 'c': 1}, {'n': 'ils', 'c': 1}]}","[{'w': 'faire', 'i': 534}, {'w': 'montrer', 'i': 565}, {'w': 'avoir', 'i': 580}]",[],"[{'w': 'jeune', 'i': 512}, {'w': 'vaillant', 'i': 521}, {'w': 'novice', 'i': 579}]","[{'w': 'inexpérience', 'i': 525}, {'w': 'verve', 'i': 583}]",1,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,1
28,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_V_Le_quid_obscurum_des_bataille,1.0,"{'occurrence': 3, 'mention_ratio': 0.0882}","{'ratio': 0.6667000000000001, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 1.0, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'napoléon', 'c': 1}], 'common': [], 'pronoun': [{'n': 'sa', 'c': 1}, {'n': 'il', 'c': 1}]}","[{'w': 'vouloir', 'i': 198}]",[],[],"[{'w': 'main', 'i': 178}]",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,hugo_les_miserables_cosette,Livre_premier_Waterloo,Chapitre_V_Le_quid_obscurum_des_bataille,2.0,"{'occurrence': 2, 'mention_ratio': 0.058800000000000005}","{'ratio': 0.5, 'inference': {'Male': 1.0, 'Female': 0.0}, 'max': 1.0, 'argmax': 'Male'}","{'ratio': 1.0, 'inference': {'Singular': 1.0, 'Plural': 0.0}, 'max': 1.0, 'argmax': 'Singular'}","{'proper': [{'n': 'le général anglais colville', 'c': 1}], 'common': [], 'pronoun': [{'n': 'sa', 'c': 1}]}","[{'w': 'regarder', 'i': 253}, {'w': 'constater', 'i': 258}]",[],"[{'w': 'anglais', 'i': 251}]","[{'w': 'montre', 'i': 256}]",0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
